Identifier,Title,Status,Priority,Assignee,Labels,Project,Due Date,Created,Updated,Git Branch,URL
CRE-3691,Loan Write-off,Released,High,Somya Jain,release:v2.2.0; client:shared,Platform,2026-01-16,2025-09-22,2026-02-15,feature/cre-3691-loan-write-off,https://linear.app/crego/issue/CRE-3691/loan-write-off
CRE-3707,"Partners, Agents & Customer login",QA,Urgent,Somya Jain,release:v2.2.0; release-blocker; client:shared; repo:crego-omni; repo:crego-web,Platform,,2025-09-25,2026-02-15,feature/cre-3707-partners-agents-customer-login,https://linear.app/crego/issue/CRE-3707/partners-agents-and-customer-login
CRE-3733,Upfront interest Excess - Settlement and Refund,Released,High,Somya Jain,release:v2.2.0; client:shared; repo:crego-web,Platform,,2025-10-04,2026-02-15,feature/cre-3733-upfront-interest-excess-settlement-and-refund,https://linear.app/crego/issue/CRE-3733/upfront-interest-excess-settlement-and-refund
CRE-3740,Write -off (Adani ),Released,High,Shubham Singh,release:v2.2.0; client:adani,Adani,2025-10-29,2025-10-06,2026-02-15,feature/cre-3740-write-off-adani,https://linear.app/crego/issue/CRE-3740/write-off-adani
CRE-3800,Program Setup with configuration,Released,Urgent,Arjit Agnihotri,release:v2.2.0; client:caspian,Caspian - DA,,2025-10-14,2026-02-15,feature/cre-3800-program-setup-with-configuration,https://linear.app/crego/issue/CRE-3800/program-setup-with-configuration
CRE-3805,PF not to be added in the Balance of SOA,Released,Medium,garima.a@crego.ai,release:v2.2.0; client:shared; repo:crego-omni; type:bug,Platform,,2025-10-14,2026-02-15,feature/cre-3805-pf-not-to-be-added-in-the-balance-of-soa,https://linear.app/crego/issue/CRE-3805/pf-not-to-be-added-in-the-balance-of-soa
CRE-3928,"Fees & Charges module for loan, program, contact, account etc..",Released,Low,garima.a@crego.ai,release:v2.2.0; client:shared; repo:crego-omni,Platform,2026-02-02,2025-11-03,2026-02-15,feature/cre-3928-fees-charges-module-for-loan-program-contact-account-etc,https://linear.app/crego/issue/CRE-3928/fees-and-charges-module-for-loan-program-contact-account-etc
CRE-4178,Loan Foreclosure,Released,Urgent,Somya Jain,release:v2.2.0,Platform,,2025-11-24,2026-02-15,feature/cre-4178-loan-foreclosure,https://linear.app/crego/issue/CRE-4178/loan-foreclosure
CRE-4180,Other Colending types,Released,High,Arjit Agnihotri,release:v2.2.0; client:shared,Platform,,2025-11-24,2026-02-15,feature/cre-4180-other-colending-types,https://linear.app/crego/issue/CRE-4180/other-colending-types
CRE-4305,One Application -> Multiple Loan Account,Released,High,Amit Sharma,release:v2.2.0; client:shared,Platform,,2025-12-04,2026-02-15,feature/cre-4305-one-application-multiple-loan-account,https://linear.app/crego/issue/CRE-4305/one-application-multiple-loan-account
CRE-4365,Capping of processing fee and document fee,Released,Low,Somya Jain,release:v2.2.0; client:shared; repo:crego-omni,Platform,,2025-12-10,2026-02-15,feature/cre-4365-capping-of-processing-fee-and-document-fee,https://linear.app/crego/issue/CRE-4365/capping-of-processing-fee-and-document-fee
CRE-4378,BCPL Issues,Released,Urgent,Somya Jain,release:v2.2.0; client:bcpl,BCPL - CLM1,,2025-12-10,2026-02-15,feature/cre-4378-bcpl-issues,https://linear.app/crego/issue/CRE-4378/bcpl-issues
CRE-4387,Grafana Alert,Released,High,Pradeep Devsecops,release:v2.2.0; client:shared,Infra,2026-01-12,2025-12-10,2026-02-15,feature/cre-4387-grafana-alert,https://linear.app/crego/issue/CRE-4387/grafana-alert
CRE-4397,Show payment/payout details + transaction other detail on transaction & Schedule Count in demand ledgers,Released,Urgent,garima.a@crego.ai,release:v2.2.0; repo:crego-web,Platform,2026-01-12,2025-12-11,2026-02-15,feature/cre-4397-show-paymentpayout-details-transaction-other-detail-on,https://linear.app/crego/issue/CRE-4397/show-paymentpayout-details-transaction-other-detail-on-transaction-and
CRE-4427,PL Demo in V2,Released,High,Pankaj Singh,release:v2.2.0; client:shared,LOS Demo Flows,,2025-12-15,2026-02-15,feature/cre-4427-pl-demo-in-v2,https://linear.app/crego/issue/CRE-4427/pl-demo-in-v2
